"Channel","Simulated","Experimental","Energy (keV)","16O (RBS)","17O (RBS)","18O (RBS)","28Si (RBS)","29Si (RBS)","30Si (RBS)","197Au (RBS)"
0,0,1091,20.601,0,0,0,0,0,0,0
1,0,0,22.3139,0,0,0,0,0,0,0
2,0,0,24.0269,0,0,0,0,0,0,0
3,0,0,25.7398,0,0,0,0,0,0,0
4,0,0,27.4528,0,0,0,0,0,0,0
5,0,0,29.1657,0,0,0,0,0,0,0
6,0,0,30.8786,0,0,0,0,0,0,0
7,0,0,32.5916,0,0,0,0,0,0,0
8,0,0,34.3045,0,0,0,0,0,0,0
9,0,0,36.0175,0,0,0,0,0,0,0
10,0,0,37.7304,0,0,0,0,0,0,0
11,0,0,39.4434,0,0,0,0,0,0,0
12,0,0,41.1563,0,0,0,0,0,0,0
13,0,0,42.8693,0,0,0,0,0,0,0
14,0,0,44.5822,0,0,0,0,0,0,0
15,0,0,46.2952,0,0,0,0,0,0,0
16,1.086472e-06,0,48.0081,0,0,0,0,4.451356e-07,6.413366e-07,0
17,2.807205e-04,0,49.7211,0,0,0,2.391882e-04,1.928839e-05,2.224386e-05,0
18,1.009888e-03,0,51.434,0,0,0,8.774477e-04,6.616786e-05,6.627288e-05,0
19,2.646252e-03,0,53.147,0,0,0,2.349003e-03,1.611081e-04,1.361407e-04,0
20,5.900963e-03,0,54.8599,0,0,0,5.301265e-03,3.263675e-04,2.733303e-04,0
21,1.179775e-02,0,56.5729,0,0,0,1.061434e-02,6.471723e-04,5.362342e-04,0
22,2.293854e-02,0,58.2858,0,0,0,2.067576e-02,1.246119e-03,1.016659e-03,0
23,4.369471e-02,0,59.9988,0,0,0,3.945349e-02,2.350719e-03,1.890503e-03,0
24,8.156720e-02,0,61.7117,0,0,0,7.377207e-02,4.347094e-03,3.448039e-03,0
25,1.492386e-01,0,63.4246,0,0,0,1.351910e-01,7.881019e-03,6.166640e-03,0
26,2.675527e-01,0,65.1376,0,0,0,2.427304e-01,1.400766e-02,1.081470e-02,0
27,4.701026e-01,0,66.8505,0,0,0,4.270985e-01,2.440560e-02,1.859854e-02,0
28,8.094585e-01,0,68.5635,0,0,0,7.364110e-01,4.168206e-02,3.136546e-02,0
29,1.365921e+00,0,70.2764,0,0,0,1.244263e+00,6.978441e-02,5.187375e-02,0
30,2.258843e+00,0,71.9894,0,0,0,2.060178e+00,1.145315e-01,8.413322e-02,0
31,3.660890e+00,0,73.7023,0,0,0,3.342796e+00,1.842711e-01,1.338229e-01,0
32,5.814805e+00,0,75.4153,0,0,0,5.315401e+00,2.906456e-01,2.087587e-01,0
33,9.051891e+00,0,77.1282,0,0,0,8.283082e+00,4.494183e-01,3.193909e-01,0
34,1.381035e+01,0,78.8412,0,0,0,1.264980e+01,6.812815e-01,4.792668e-01,0
35,2.065089e+01,0,80.5541,0,0,0,1.893300e+01,1.012511e+00,7.053799e-01,0
36,3.026554e+01,0,82.2671,0,0,0,2.777195e+01,1.475295e+00,1.018297e+00,0
37,4.347510e+01,0,83.98,0,0,0,3.992564e+01,2.107524e+00,1.441940e+00,0
38,6.120994e+01,0,85.693,0,0,0,5.625523e+01,2.951821e+00,2.002887e+00,0
39,8.446925e+01,0,87.4059,0,0,0,7.768657e+01,4.053588e+00,2.729098e+00,0
40,1.142553e+02,0,89.1189,0,0,0,1.051494e+02,5.457957e+00,3.647982e+00,0
41,1.514819e+02,0,90.8318,0,0,0,1.394925e+02,7.205596e+00,4.783814e+00,0
42,1.968590e+02,0,92.5448,0,0,0,1.813768e+02,9.327539e+00,6.154634e+00,0
43,2.507632e+02,0,94.2577,0,0,0,2.311550e+02,1.183939e+01,7.768812e+00,0
44,3.131036e+02,0,95.9706,0,0,0,2.887466e+02,1.473543e+01,9.621652e+00,0
45,3.832027e+02,0,97.6836,0,0,0,3.535268e+02,1.798348e+01,1.169244e+01,0
46,4.597093e+02,0,99.3965,0,0,0,4.242457e+02,2.152117e+01,1.394243e+01,0
